City,Wind Speed,Visibility,Sunrise Time
New York,15,10,06:12
Los Angeles,8,15,06:31
Chicago,20,8,06:02
Houston,12,12,06:45
Miami,10,14,06:30
Seattle,22,7,06:20
Denver,16,9,06:10
Atlanta,14,10,06:35
San Francisco,11,15,06:40
Boston,13,12,06:05
Dallas,10,13,06:50
Phoenix,9,20,06:25
Philadelphia,15,10,06:15
Las Vegas,18,22,06:45
Washington DC,12,11,06:20
San Diego,7,18,06:55
Toronto,14,9,06:10
Orlando,8,16,06:40
Portland,20,8,06:05
Austin,12,10,06:30
Vancouver,16,7,06:00
San Antonio,10,14,06:55
Montreal,13,9,06:20
Calgary,22,6,06:15
Ottawa,15,10,06:25
Nashville,14,12,06:40
Memphis,11,13,06:35
Edmonton,19,5,06:05
Louisville,12,11,06:30
Baltimore,13,12,06:45
Charlotte,9,15,06:50
Jacksonville,10,16,06:55
Indianapolis,18,8,06:25
San Jose,7,18,06:40
Columbus,15,9,06:10
El Paso,20,20,06:50
Detroit,12,10,06:15
Fort Worth,11,14,06:30
